代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
605567,春雪食品,10.78,4.15,49043.0,52334162.0,10.86,10.21,10.33,10.35,2156000000.0,2156000000.0,2.45,1320.44
002188,中天服务,6.21,2.48,125290.0,77179868.0,6.25,6.0,6.02,6.06,2031314995.0,1598224273.0,4.87,642.28
300500,启迪设计,10.38,3.49,45073.0,46185639.2,10.38,10.02,10.05,10.03,1805859140.0,1739666773.0,2.69,354.7
300649,杭州园林,14.12,4.05,30532.0,42494586.0,14.12,13.44,13.56,13.57,1869722519.0,1498369414.0,2.88,142.43
301372,科净源,26.11,3.73,13984.0,36203974.58,26.3,24.92,25.3,25.17,1790400037.0,1074960319.0,3.4,141.06
688681,科汇股份,18.1,2.55,21227.0,38256656.0,18.29,17.5,17.5,17.65,1894527000.0,1894527000.0,2.03,128.04
688565,力源科技,12.32,0.41,27674.0,34200833.0,12.54,12.15,12.4,12.27,1844673600.0,1844673600.0,1.85,118.8801473289
301037,保立佳,14.46,4.33,24611.0,34960151.3,14.47,13.64,13.97,13.86,2010398180.0,983247971.0,3.62,110.21
688021,奥福科技,23.88,1.83,39469.0,94886967.0,24.56,23.15,23.15,23.45,1824759562.0,1824759562.0,5.17,99.7554184743
688329,艾隆科技,23.93,2.44,16479.0,39127344.0,24.17,22.88,23.19,23.36,1847396000.0,1847396000.0,2.13,96.56
300929,华骐环保,12.28,4.69,51013.0,62134567.28,12.5,11.65,11.84,11.73,1622592700.0,1556457532.0,4.02,84.98
300013,新宁物流,3.76,3.87,124546.0,46230740.5,3.76,3.6,3.65,3.62,2099429441.0,1676815439.0,2.79,84.09
603879,永悦科技,5.39,4.05,106360.0,56381608.0,5.4,5.1,5.13,5.18,1936866532.0,1936866532.0,2.96,72.6540458622
002719,麦趣尔,8.43,3.95,98279.0,81686509.2,8.48,7.99,8.03,8.11,1467995623.0,1364489031.0,6.07,61.95
688096,京源环保,7.95,2.71,74723.0,59688951.0,8.22,7.73,7.77,7.74,1876555309.0,1876555309.0,3.17,61.05
688004,博汇科技,21.13,1.88,14989.0,31376147.0,21.24,20.34,20.44,20.74,1692259440.0,1692259440.0,1.87,59.4260464959
002910,庄园牧场,10.57,3.63,64850.0,67816406.0,10.62,10.0,10.17,10.2,2066850898.0,1808124812.0,3.79,59.08
688193,仁度生物,50.16,3.49,4130.0,20462542.0,50.27,47.26,48.72,48.47,2009904679.0,2009904679.0,1.03,50.15
600119,长江投资,5.91,3.32,48003.0,28087533.0,5.94,5.67,5.75,5.72,2158747887.0,2158747887.0,1.31,47.854436936
300556,丝路视觉,17.08,2.4,26595.0,45212932.0,17.2,16.54,16.54,16.68,2076335546.0,1853291003.0,2.45,43.36
300886,华业香料,28.01,3.74,13914.0,38589960.0,28.12,26.73,27.08,27.0,2095091980.0,1222532863.0,3.19,39.41
301167,建研设计,16.0,2.43,38667.0,61486309.0,16.12,15.49,15.63,15.62,1792000000.0,1135402736.0,5.45,39.36
300923,研奥股份,26.59,2.47,16773.0,44498790.0,26.88,25.82,25.94,25.95,2089974000.0,2033297415.0,2.19,36.77
600455,博通股份,25.31,2.55,32770.0,81993710.0,25.48,24.01,24.68,24.68,1580811980.0,1580811980.0,5.25,36.43
002856,美芝股份,10.99,2.23,46322.0,50457217.0,11.09,10.45,10.75,10.75,1487087760.0,1361709829.0,3.74,26.79
600778,友好集团,6.28,4.15,86975.0,53969865.0,6.29,6.03,6.03,6.03,1956165691.0,1954429459.0,2.79,26.33
600137,浪莎股份,21.65,4.69,51153.0,109885981.0,22.2,20.44,20.58,20.68,2104760780.0,2104760780.0,5.26,26.15
300295,三六五网,9.31,0.65,66821.0,61284467.0,9.31,9.0,9.29,9.25,1765303677.0,1559666017.0,3.99,21.53
300717,华信新材,20.21,3.01,21011.0,42234743.4,20.33,19.52,19.86,19.62,2077082750.0,2058457214.0,2.06,18.56
688067,爱威科技,26.91,5.9,21991.0,57850505.0,26.98,25.07,25.41,25.41,1829880000.0,1829880000.0,3.23,16.35
