代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率
920970,大禹生物,6.62,1.53,11906.0,7861434.86,6.68,6.53,6.61,6.52,733501296.0,463872006.0,1.7
920149,旭杰科技,10.05,3.29,11276.0,11267993.63,10.19,9.83,9.85,9.73,768655959.0,635833380.0,1.78
920832,齐鲁华信,6.55,1.08,15924.0,10405386.81,6.64,6.48,6.6,6.48,908903316.0,807887382.0,1.29
920895,花溪科技,16.15,1.19,2274.0,3664389.91,16.25,15.98,16.15,15.96,912862600.0,464100935.0,0.79
920504,博迅生物,21.7,1.93,3961.0,8519697.82,21.83,21.13,21.5,21.29,940328270.0,370894339.0,2.32
920267,鑫汇科,18.96,2.49,3351.0,6300980.97,19.2,18.55,18.69,18.5,947676561.0,562676830.0,1.13
920527,夜光明,15.85,0.89,4134.0,6589054.81,16.15,15.77,15.89,15.71,951676795.0,576115594.0,1.14
920146,华阳变速,7.07,-1.39,47484.0,33674578.81,7.27,7.01,7.22,7.17,954382432.0,757464614.0,4.43
920422,润普食品,10.9,1.49,9225.0,10046542.26,11.02,10.78,10.86,10.74,964461539.0,721827539.0,1.39
920719,宁新新材,10.37,1.07,11020.0,11408841.74,10.49,10.26,10.42,10.26,965378558.0,759018275.0,1.51
920679,前进科技,17.33,1.88,2770.0,4117409.97,17.58,17.19,17.19,17.01,967880500.0,644242750.0,0.75
920266,生物谷,7.91,2.99,12005.0,9405429.26,7.94,7.72,7.78,7.68,980840055.0,937259515.0,1.01
920030,德众汽车,5.54,0.54,17338.0,9629253.83,5.62,5.52,5.56,5.51,990771833.0,623106187.0,1.54
920717,瑞星股份,8.74,0.0,7712.0,6752225.87,8.88,8.68,8.84,8.74,1002303200.0,387007200.0,1.74
920300,辰光医疗,11.7,2.18,10970.0,12735808.08,11.74,11.43,11.62,11.45,1004411374.0,778420375.0,1.65
920370,新安洁,3.38,0.6,20425.0,6905777.25,3.41,3.35,3.39,3.36,1014957699.0,883715997.0,0.78
920414,欧普泰,12.81,2.97,51264.0,66043694.22,13.31,12.45,12.59,12.44,1021574071.0,718353889.0,9.14
920608,丰安股份,16.43,1.55,1998.0,3270194.27,16.47,16.16,16.34,16.18,1022603200.0,647538585.0,0.51
920519,万德股份,11.54,0.44,5175.0,5956486.91,11.67,11.45,11.64,11.49,1030038520.0,726954845.0,0.82
920471,美邦科技,12.45,0.57,10086.0,12605727.36,12.64,12.4,12.58,12.38,1035840000.0,660231057.0,1.9
920260,中寰股份,10.03,1.11,19441.0,19437752.8,10.11,9.93,10.03,9.92,1038606500.0,991754454.0,1.97
920145,恒合股份,14.81,2.63,7717.0,11432460.93,14.94,14.59,14.81,14.43,1044845500.0,719662330.0,1.59
920873,中设咨询,6.85,3.01,27306.0,18548194.34,6.89,6.66,6.73,6.65,1050700964.0,820673806.0,2.28
920118,太湖远大,20.75,1.22,2610.0,5403000.05,20.89,20.56,20.71,20.5,1056092000.0,650286325.0,0.83
920810,春光智能,11.09,2.4,4201.0,4581419.36,11.09,10.82,10.95,10.83,1063531000.0,692099674.0,0.67
920057,百甲科技,6.01,0.84,5490.0,3298733.52,6.09,5.97,6.05,5.96,1089392415.0,691574781.0,0.48
920132,泰鹏智能,13.18,1.31,2756.0,3633225.55,13.3,13.1,13.15,13.01,1091620320.0,369895395.0,0.98
920580,科创新材,12.85,1.18,8114.0,10391961.68,13.18,12.68,12.9,12.7,1105100000.0,703705501.0,1.48
920871,派特尔,13.22,0.61,7997.0,10670407.28,13.55,13.2,13.27,13.14,1123906774.0,619168575.0,1.71
920931,无锡鼎邦,12.01,0.17,4179.0,5041788.02,12.28,11.94,12.1,11.99,1128099300.0,345597358.0,1.45
