代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
605567,春雪食品,11.13,3.25,38369.0,42470173.0,11.15,10.9,11.08,10.78,2226000000.0,2226000000.0,1.92,1320.44
002188,中天服务,6.83,9.98,147802.0,98280192.0,6.83,6.35,6.36,6.21,2234119391.0,1757789338.0,5.74,642.28
300500,启迪设计,10.81,4.14,41383.0,44486560.6,10.84,10.58,10.6,10.38,1880668334.0,1811733894.0,2.47,354.7
300649,杭州园林,14.73,4.32,26745.0,39224562.0,14.8,14.42,14.49,14.12,1950496651.0,1563100670.0,2.52,142.43
301372,科净源,27.81,6.51,20219.0,55674377.0,27.9,26.8,26.99,26.11,1906971468.0,1144950075.0,4.91,141.06
688681,科汇股份,19.08,5.41,25507.0,48496243.0,19.21,18.51,18.51,18.1,1997103600.0,1997103600.0,2.44,128.04
688565,力源科技,13.23,7.39,34144.0,44433384.0,13.26,12.7,12.9,12.32,1980927900.0,1980927900.0,2.28,118.8801473289
301037,保立佳,15.0,3.73,21673.0,32594684.0,15.16,14.69,14.72,14.46,2085475290.0,1019966775.0,3.19,110.21
688021,奥福科技,24.9,4.27,33556.0,83343965.0,25.27,24.0,24.5,23.88,1902701553.0,1902701553.0,4.39,99.7554184743
688329,艾隆科技,24.89,4.01,17282.0,42875142.0,25.12,24.06,24.52,23.93,1921508000.0,1921508000.0,2.24,96.56
300929,华骐环保,13.19,7.41,64643.0,84933192.56,13.39,12.53,12.55,12.28,1742833690.0,1671797626.0,5.1,84.98
300013,新宁物流,3.88,3.19,132596.0,50973217.49,3.88,3.79,3.85,3.76,2166432509.0,1730330826.0,2.97,84.09
603879,永悦科技,5.55,2.97,77764.0,43078048.0,5.59,5.4,5.56,5.39,1994361642.0,1994361642.0,2.16,72.6540458622
002719,麦趣尔,8.89,5.46,88117.0,77621484.2,8.95,8.61,8.62,8.43,1548099773.0,1438945135.0,5.44,61.95
688096,京源环保,8.55,7.55,83250.0,70564118.0,8.59,8.16,8.2,7.95,2018182125.0,2018182125.0,3.53,61.05
688004,博汇科技,22.64,7.15,19227.0,43043504.0,22.67,21.45,21.45,21.13,1813192320.0,1813192320.0,2.4,59.4260464959
002910,庄园牧场,10.88,2.93,49117.0,53240596.0,10.93,10.57,10.81,10.57,2127468095.0,1861154016.0,2.87,59.08
688193,仁度生物,52.03,3.73,4644.0,24105231.0,52.44,51.16,51.16,50.16,2084835336.0,2084835336.0,1.16,50.15
600119,长江投资,6.0,1.52,49905.0,29973125.0,6.05,5.92,6.03,5.91,2191622220.0,2191622220.0,1.37,47.854436936
300556,丝路视觉,17.98,5.27,38595.0,68848595.0,18.01,17.53,17.76,17.08,2185744328.0,1950946852.0,3.56,43.36
300886,华业香料,29.37,4.86,12305.0,35862627.0,29.53,28.43,28.55,28.01,2196817260.0,1281891831.0,2.82,39.41
301167,建研设计,16.89,5.56,39545.0,66320787.2,16.98,16.32,16.4,16.0,1891680000.0,1198559513.0,5.57,39.36
300923,研奥股份,28.03,5.42,18553.0,51689638.0,28.17,27.14,27.25,26.59,2203158000.0,2143412055.0,2.43,36.77
600455,博通股份,26.32,3.99,25905.0,67908845.0,26.42,25.45,25.45,25.31,1643894560.0,1643894560.0,4.15,36.43
000692,惠天热电,4.21,1.2,243879.0,101703065.0,4.21,4.11,4.2,4.16,2243226829.0,2243226829.0,4.58,30.37
002856,美芝股份,11.5,4.64,43991.0,50346285.8,11.58,11.24,11.3,10.99,1556097292.0,1424901095.0,3.55,26.79
600778,友好集团,6.51,3.66,86669.0,55917872.0,6.52,6.37,6.4,6.28,2027808702.0,2026008882.0,2.78,26.33
600137,浪莎股份,22.47,3.79,51792.0,114501721.0,22.5,21.69,22.5,21.65,2184479202.0,2184479202.0,5.33,26.15
300295,三六五网,9.77,4.94,63598.0,61583832.4,9.78,9.5,9.5,9.31,1852525986.0,1636727926.0,3.8,21.53
300717,华信新材,21.11,4.45,20959.0,43963701.66,21.19,20.54,20.64,20.21,2169580250.0,2150125274.0,2.06,18.56
