代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率,周涨幅,月涨幅,年涨幅
300535,达威股份,17.36,-4.194,2755334.0,48436165.0,18.39,17.17,18.15,18.12,1857864821.6799998,1408955758.5600002,3.3949,412.82,-6.62,-12.32,-2.8
002828,贝肯能源,9.88,-6.351,17985550.0,179425642.0,10.42,9.76,10.29,10.55,1985757488.0,1985757488.0,8.94859,411.49,-13.86,-14.97,-7.32
605567,春雪食品,10.21,-2.39,3615700.0,37326117.0,10.61,10.1,10.51,10.46,2042000000.0,2042000000.0,1.80785,383.98,-6.42,-6.07,-7.18
002696,百洋股份,6.32,-1.711,5783790.0,36740080.0,6.54,6.23,6.43,6.43,2185166746.2400002,2112516361.76,1.73033,366.36,-4.39,-7.33,-10.61
002188,中天服务,6.53,-1.21,11722451.0,77379417.0,6.76,6.45,6.64,6.61,2135988231.92,1680580435.7099998,4.55483,353.07,-6.45,1.87,7.4
600778,友好集团,6.5,-1.515,6569500.0,42790262.0,6.67,6.4,6.55,6.6,2024693788.0,2022896733.0,2.11092,316.27,-5.66,3.01,-2.55
688565,力源科技,11.91,-3.719,3725790.0,44806246.0,12.59,11.75,12.44,12.37,1783284300.0,1783284300.0,2.48834,252.06,-6.59,-5.18,6.43
688193,仁度生物,54.32,-0.894,838930.0,46131603.0,56.66,53.61,55.0,54.81,2176595338.4,2176595338.4,2.09367,229.1237030192,-1.18,8.92,12.3
688329,艾隆科技,26.52,-1.778,3465691.0,93264053.0,32.4,26.25,27.03,27.0,2047344000.0,2047344000.0,4.48924,185.5256539009,4.25,24.68,24.57
002486,嘉麟杰,2.64,0.0,24933000.0,65776624.0,2.69,2.56,2.66,2.64,2176107384.0,2165956320.0,3.03899,142.47,-4.69,-7.04,-15.11
688021,奥福科技,26.53,-2.892,2163788.0,58160117.0,28.2,26.35,27.18,27.32,2027255912.01,2027255912.01,2.83167,133.455466734,-7.08,11.61,44.58
300169,天晟新材,6.05,-2.419,9739600.0,59468117.0,6.36,5.99,6.32,6.2,2053940756.9999998,1825501481.1000001,3.22786,122.26,-5.47,3.24,-3.2
002524,光正眼科,4.02,-2.427,15244651.0,61725224.0,4.19,3.97,4.14,4.12,2071632927.48,2053209267.48,2.98477,88.84,-5.63,-0.99,-2.43
688038,中科通达,19.31,-5.297,3594108.0,70419303.0,20.65,19.08,20.41,20.39,2247170354.0,2247170354.0,3.08843,79.2034287168,-6.08,-13.79,9.28
000702,正虹科技,6.53,-0.91,8314000.0,54659017.0,6.8,6.44,6.59,6.59,2263460910.44,1741123781.2800002,3.11813,78.09,-5.77,-4.11,-2.25
688121,卓然股份,6.48,0.0,0.0,0.0,0.0,0.0,0.0,6.48,1513818739.4399998,1313280002.1599998,0.0,74.55,-33.81,-40.44,-40.66
300605,恒锋信息,11.71,-4.486,8766724.0,102984064.0,12.58,11.52,12.21,12.26,1933833453.02,1479940093.77,6.93665,71.24,-8.8,-16.95,-25.18
603879,永悦科技,5.46,-1.622,10543104.0,57990439.0,5.75,5.37,5.59,5.55,1962020642.4,1962020642.4,2.93398,66.9054687697,-5.54,-5.21,-22.88
002910,庄园牧场,10.45,-1.508,4759700.0,49910463.0,10.8,10.28,10.57,10.61,2043386176.1499999,1787597377.5,2.78244,55.24,-6.19,-1.51,-5.94
688681,科汇股份,19.56,-3.36,2574157.0,51024503.0,20.52,19.37,20.26,20.24,2047345200.0,2047345200.0,2.45931,53.71,-3.74,1.98,11.26
688659,元琛科技,11.59,-1.529,4649340.0,54294834.0,12.21,11.38,11.79,11.77,1854400000.0,1854400000.0,2.90584,49.64,-2.28,16.48,22.65
600561,江西长运,6.57,-3.24,5715744.0,38136091.0,6.94,6.54,6.77,6.79,1869012576.0,1869012576.0,2.00921,45.32,-5.33,-1.94,1.39
300640,德艺文创,7.22,-1.501,14244000.0,103629251.0,7.54,7.11,7.35,7.33,2245372542.94,1644329044.1,6.25432,41.84,-9.07,4.18,-6.72
688004,博汇科技,23.41,-0.763,1720894.0,40490181.0,24.25,23.22,23.89,23.59,1874860080.0,1874860080.0,2.14875,41.4321729026,-3.38,4.14,1.21
301167,建研设计,16.59,-2.297,2789300.0,46475181.0,17.24,16.46,17.02,16.98,1858080000.0,1196379870.21,3.86788,39.36,-5.42,-0.84,2.09
600137,浪莎股份,21.39,-2.551,1974800.0,42406187.0,22.27,21.15,22.12,21.95,2079484207.32,2079484207.32,2.03132,38.11,-7.32,-6.96,11.23
300886,华业香料,26.37,-4.595,2276364.0,60706703.0,28.08,25.88,27.7,27.64,1972423260.0,1237526959.5,4.85062,36.79,-10.46,-11.54,1.78
600455,博通股份,29.03,0.276,1900800.0,55353460.0,29.83,28.6,29.26,28.95,1813155740.0,1813155740.0,3.04333,36.43,-2.49,13.35,11.78
603709,中源家居,17.46,-2.24,2602392.0,45970965.0,18.45,17.32,17.9,17.86,2201307912.0,2184407854.2,2.0801,32.3074627683,-7.37,0.63,6.99
002817,黄山胶囊,7.4,-3.141,9735047.0,72102844.0,7.7,7.25,7.68,7.64,2213326458.0,2146290783.0,3.35646,31.94,-6.8,-4.15,-2.63
